source_file,session,scent,label,gas_trough_d,gas_mean_d,humid_peak_d,humid_mean_d,temp_d,gas_peak_d,gas_range_d,gas_slope,gas_recovery,gas_trough_pct,gas_skew,humid_recovery,humid_std,gas_late_slope,gas_std,time_to_trough
smell_baseline_2026-06-01.csv,baseline_2026-06-01,baseline,baseline,0.15000000000000568,1.1400000000000006,0.10333333333333172,-0.22666666666666657,0.08333333333332149,2.1500000000000057,2.0,0.014285714285714488,11.199999999999621,0.22848438690023717,0.22273717099420076,-4.387096774193684,0.1268857754044948,0.03695216907675203,0.5371840156470279,1
smell_baseline_2026-06-08.csv,baseline_2026-06-08_aft,baseline,baseline,-0.8666666666666742,0.8533333333333388,0.1799999999999855,-0.9850000000000207,0.1889999999999894,2.933333333333337,3.8000000000000114,-0.014285714285714488,3.9461538461538135,-1.148409893992943,0.3090011387202613,-13.074074074075078,0.8969996283908557,0.07886540600667548,1.2623787070447596,4
smell_baseline_2026-06-08.csv,baseline_2026-06-08_eve,baseline,baseline,-0.269999999999996,0.3750000000000142,0.20666666666664213,-0.14166666666668704,0.10299999999999443,1.230000000000004,1.5,0.03571428571428571,3.72839506172848,-0.3669974174255757,0.16701860032367347,-1.7096774193551028,0.1008161142322447,0.019532814238042477,0.3853245385386189,7
smell_baseline_2026-06-08.csv,baseline_2026-06-08_eve,baseline,baseline,-0.7066666666666492,0.2983333333333462,0.8466666666666782,0.08833333333334537,0.06616666666666404,0.7933333333333508,1.5,-0.007142857142856737,0.9056603773585137,-0.9471897060137378,-0.9847616035121961,-0.8267716535432992,0.20272449832771178,-0.035394883203558956,0.35469470440553996,54
smell_baseline_2026-07-17.csv,baseline_2026-07-17_aft,baseline,baseline,-2.9233333333333746,0.9916666666665606,0.646666666666647,-0.2600000000000051,0.03500000000000014,4.876666666666608,7.799999999999983,0.2642857142857155,1.578107183580369,-1.157648798130882,-0.3035965940503355,-1.051546391752598,0.20237478982213977,0.00605116796440719,1.3215931043000073,0
smell_baseline_2026-07-17.csv,baseline_2026-07-17_eve,baseline,baseline,-2.196666666666715,-0.7550000000001091,0.07666666666666799,-0.21999999999998465,0.10183333333333167,1.0033333333332735,3.1999999999999886,-0.10714285714285714,0.24279210925646882,-0.9264856809459073,0.010763871279027684,-5.000000000000142,0.1460213074253966,-0.03755283648498162,0.8754601964427371,50
smell_baseline_2026-07-17.csv,baseline_2026-07-17_eve,baseline,baseline,-3.1100000000000136,0.42166666666665265,-0.10666666666665492,-0.29333333333332234,0.08233333333334514,2.0900000000000034,5.200000000000017,0.0,1.2861736334405087,-1.353880980366555,-1.0832582263546138,-3.000000000000533,0.13719410418171077,0.12362625139043251,1.0659098877901865,31
smell_baseline_2026-07-17_1.csv,baseline_1,baseline,baseline,3.0700000000000216,10.298333333333403,-0.25,-0.7916666666666572,0.0016666666666722563,19.870000000000005,16.799999999999983,0.1499999999999996,4.186753528773022,1.280073385314607,0.20767559037363226,-3.759999999999991,0.3431674356475114,0.2503225806451645,4.385053844848682,0
smell_baseline_2026-07-17_1.csv,baseline_1,baseline,baseline,0.03333333333335986,2.236666666666679,1.0433333333333366,0.48833333333334394,-0.020333333333322656,4.333333333333314,4.2999999999999545,0.19285714285714203,23.26666666666597,0.012719409819394505,0.00018124655152049608,-0.19808306709264806,0.275333131557634,0.03793103448276007,1.0593971031781357,39
smell_baseline_2026-07-17_1.csv,baseline_1,baseline,baseline,-3.7933333333334076,-0.5966666666666924,1.0833333333333428,0.575000000000017,0.021666666666654066,1.906666666666581,5.699999999999989,-0.05714285714285795,0.35149384885763313,-1.4287866613097906,-0.2908364663191876,-0.08000000000000525,0.3484688731516145,-0.12411568409343868,1.4717298967164079,58
smell_black_opium_2026-05-29.csv,black_opium_2026-05-29_t0,black_opium,perfume,-39.72333333333333,-10.268333333333338,1.3433333333333408,0.2716666666666754,-0.22133333333334093,-0.12333333333333485,39.599999999999994,-1.4214285714285713,0.9732315179994966,-67.30106737448466,-1.1427884805887003,-0.9578163771712175,0.36013500554961636,0.1040489432703006,11.450653911458506,7
smell_black_opium_2026-05-31.csv,black_opium_2026-05-31_t0,black_opium,perfume,-45.349999999999994,-19.26666666666665,1.509999999999991,0.5033333333333374,-0.16383333333332573,0.8500000000000085,46.2,-2.9714285714285715,0.8829106945975743,-76.15449202350966,-0.4375417203016619,-0.9448123620309126,0.3586394041683406,0.3961067853170193,13.838788081170819,4
